slug,name,category,species_scope,dog_severity,cat_severity,summary,clinical_signs,common_sources,dose_warning,source_publisher,source_url,hotline_routing,approve (yes/no),reviewer_name_credentials,review_date (YYYY-MM-DD),requested_edits
"fatty-foods","Fatty / greasy foods","food","both","Caution","Caution","Rich, fatty scraps can trigger pancreatitis, especially in prone dogs.","vomiting; diarrhea; painful belly; loss of appetite","Bacon, fat trimmings, fried foods, gravy, holiday table scraps.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"raw-green-potato-tomato","Green/raw potato & green tomato","food","both","Caution","Caution","Green parts, sprouts, and stems contain solanine; cooked ripe flesh is generally fine.","drooling; vomiting; diarrhea; lethargy","Sprouted or green potatoes, potato plants, unripe tomatoes and their plants.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"avocado","Avocado","food","both","Caution","Caution","The flesh causes mild stomach upset in dogs and cats; the large pit is a choking and obstruction risk.","vomiting; diarrhea","Guacamole, avocado flesh, pits, and the plant.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"lily-true","Lily (true & day lilies)","plant","both","Caution","Emergency","For CATS, every part — even pollen or vase water — can cause fatal kidney failure; keep them out of the home entirely. In dogs, true lilies usually cause only mild stomach upset.","drooling; vomiting; hiding; reduced urination","Cut-flower bouquets, Easter lilies, garden day lilies, the vase water.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"sago-palm","Sago palm (cycad)","plant","both","Emergency","Emergency","All parts, especially the seeds, are highly toxic and can cause liver failure.","vomiting; dark stool; jaundice; weakness","Ornamental houseplants and landscaping, especially in warm climates.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"oleander","Oleander","plant","both","Emergency","Emergency","Contains cardiac glycosides that affect heart rhythm; all parts are toxic.","drooling; vomiting; abnormal heart rate; collapse","Outdoor landscaping shrubs, clippings, and bouquets.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"azalea-rhododendron","Azalea / rhododendron","plant","both","High risk","High risk","Grayanotoxins affect the gut and heart; even a few leaves can cause signs.","drooling; vomiting; diarrhea; weakness","Garden and landscaping shrubs, clippings.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"autumn-crocus","Autumn crocus (Colchicum)","plant","both","Emergency","Emergency","Contains colchicine and can cause severe, sometimes delayed, multi-organ damage.","drooling; bloody vomiting or diarrhea; weakness","Fall-blooming garden bulbs.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"tulip-hyacinth","Tulip & hyacinth (bulbs)","plant","both","High risk","High risk","The bulbs hold the most toxin; can cause heavy drooling and stomach upset.","drooling; vomiting; diarrhea","Spring garden bulbs, potted bulbs, planting season.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"daffodil","Daffodil (Narcissus)","plant","both","High risk","High risk","Bulbs are the most toxic part; can cause vomiting and heart or breathing changes.","vomiting; drooling; belly pain; abnormal heart rate","Spring bulbs and cut flowers.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"dieffenbachia","Dieffenbachia (dumb cane)","plant","both","Caution","Caution","Insoluble calcium oxalate crystals cause intense mouth irritation and swelling.","pawing at the mouth; drooling; swelling of the mouth or tongue; vomiting","Common leafy houseplant.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"philodendron-pothos","Philodendron & pothos","plant","both","Caution","Caution","Common houseplants with oxalate crystals that irritate the mouth and throat.","drooling; pawing at the mouth; vomiting","Trailing/hanging houseplants.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"peace-lily","Peace lily (Spathiphyllum)","plant","both","Caution","Caution","Not a true lily — it irritates the mouth and throat rather than the kidneys, but still avoid it.","drooling; oral pain; vomiting","Flowering houseplant.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"cyclamen","Cyclamen","plant","both","High risk","High risk","The roots and tubers are the most toxic part and can affect the heart.","drooling; vomiting; diarrhea; abnormal heart rhythm","Flowering potted houseplant, popular in winter.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"kalanchoe","Kalanchoe","plant","both","High risk","High risk","A popular flowering houseplant containing heart-affecting toxins.","vomiting; diarrhea; abnormal heart rate","Flowering succulent houseplant.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"yew","Yew (Taxus)","plant","both","Emergency","Emergency","Contains taxines that affect the heart; all parts except the red flesh are toxic.","trembling; difficulty breathing; sudden collapse","Evergreen landscaping shrubs and clippings.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"foxglove","Foxglove (Digitalis)","plant","both","Emergency","Emergency","Contains cardiac glycosides; all parts affect the heart.","drooling; vomiting; abnormal or slow heart rate; weakness","Garden flowers and bouquets.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"lily-of-the-valley","Lily of the valley","plant","both","Emergency","Emergency","Despite the name it affects the heart, via cardiac glycosides.","vomiting; abnormal heart rate; disorientation; collapse","Shade garden ground cover and bouquets.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"castor-bean","Castor bean / ricin","plant","both","Emergency","Emergency","The beans contain ricin, one of the most toxic plant compounds known.","bloody diarrhea; vomiting; weakness; tremors","Ornamental plants, some mulch, jewelry made from seeds.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","poison hotline + emergency vet","","","",""
"aloe","Aloe vera","plant","both","Caution","Caution","The latex/gel can cause stomach upset in dogs and cats.","vomiting; lethargy; diarrhea","Houseplants and some topical gels.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"jade-plant","Jade plant","plant","both","Caution","Caution","A common succulent that can cause stomach upset and incoordination; the exact toxin is unknown.","vomiting; lethargy; incoordination","Popular succulent houseplant.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants","vet guidance","","","",""
"cannabis-thc","Marijuana / THC (edibles & plants)","recreational","both","High risk","High risk","THC affects the nervous system; edibles may also contain chocolate or xylitol, adding more risk.","stumbling; dribbling urine; dazed or sleepy; low heart rate; startling at sounds","Edibles, dried plant, concentrates, second-hand smoke.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"wild-mushrooms","Wild mushrooms","recreational","both","Emergency","Emergency","Some wild or yard mushrooms cause liver failure or neurologic signs, and identification is unreliable — any ingestion is an emergency.","vomiting; diarrhea; jaundice; tremors; seizures","Lawns, woods, and damp shaded areas after rain.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","poison hotline + emergency vet","","","",""
"nicotine","Nicotine (cigarettes, vapes, gum, patches)","recreational","both","Emergency","Emergency","Concentrated nicotine (vape liquid, gum, patches, butts) is rapidly toxic to pets.","drooling; vomiting; racing or abnormal heart rate; tremors; weakness","Cigarettes and butts, vape liquid, nicotine gum and patches.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"blue-green-algae","Blue-green algae (cyanobacteria)","recreational","both","Emergency","Emergency","Toxic algae blooms in warm, stagnant water can cause rapid liver failure or neurologic collapse.","vomiting; diarrhea; weakness; tremors; collapse","Warm, still ponds and lakes with green/blue surface scum.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","poison hotline + emergency vet","","","",""
"antifreeze","Antifreeze (ethylene glycol)","household","both","Emergency","Emergency","Sweet-tasting and rapidly causes kidney failure; even a tiny amount is deadly, especially to cats. Time matters enormously.","stumbling as if drunk; excessive thirst; vomiting; later, reduced urination","Radiator coolant leaks/spills, garages, driveways.","Even a small lick can be fatal — do not wait.","Merck & Co.","https://www.merckvetmanual.com/toxicology","poison hotline + emergency vet","","","",""
"metaldehyde","Slug & snail bait (metaldehyde)","household","both","Emergency","Emergency","Causes severe tremors and seizures soon after ingestion.","tremors; twitching; seizures; high temperature","Garden slug/snail pellets.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"bleach-cleaners","Bleach & concentrated cleaners","household","both","High risk","High risk","Concentrated or strongly acidic/alkaline cleaners are caustic and can burn the mouth, throat, and airways.","drooling; mouth pain; vomiting; coughing","Household cleaning products, especially undiluted.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","vet guidance","","","",""
"laundry-pods","Laundry & dishwasher pods","household","both","High risk","High risk","The concentrated detergent bursts under pressure and can cause vomiting and airway irritation.","drooling; vomiting; coughing or gagging; squinting if it contacts the eyes","Single-use laundry and dishwasher detergent packets.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"zinc","Zinc (pennies, hardware, zinc creams)","household","both","High risk","High risk","Swallowed zinc objects and zinc-oxide creams can destroy red blood cells.","vomiting; pale or yellow gums; red or brown urine; weakness","Pennies minted after 1982, nuts/bolts, zinc-oxide skin creams.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"batteries","Batteries (button / lithium)","household","both","High risk","High risk","Cause caustic burns if chewed or swallowed; button/coin batteries are especially dangerous.","drooling; mouth pain; vomiting; not eating","Remotes, toys, key fobs, hearing aids, electronics.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","vet guidance","","","",""
"fertilizer","Fertilizers & plant foods","household","both","Caution","Caution","Most cause stomach upset; some contain iron, pesticides, or 'meal' additives that are more dangerous.","drooling; vomiting; diarrhea","Lawn and garden fertilizers, bone/blood meal amendments.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","vet guidance","","","",""
"anticoagulant-rodenticide","Anticoagulant rat / mouse bait","household","both","Emergency","Emergency","Stops blood from clotting; signs can be delayed several days. Bring the product packaging to the vet if you can.","weakness; pale gums; coughing; bruising; bleeding that won't stop","Rodent bait stations in homes, garages, and sheds.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"bromethalin","Bromethalin rat / mouse bait","household","both","Emergency","Emergency","A non-anticoagulant bait that causes brain swelling; identifying the exact product matters, so keep the packaging.","tremors; stumbling; weakness; seizures","Rodent bait stations; the active ingredient varies by brand.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"ibuprofen-nsaids","Ibuprofen & naproxen (human NSAIDs)","medication","both","High risk","Emergency","Common human pain relievers; cause stomach ulcers and kidney injury. Cats are extremely sensitive.","vomiting (sometimes bloody); not eating; lethargy; increased thirst","Human medicine cabinets, dropped pills, purses.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"acetaminophen","Acetaminophen / paracetamol (Tylenol)","medication","both","High risk","Emergency","Even one tablet can be fatal to a CAT by damaging red blood cells; dogs also risk liver damage.","pale, muddy, or bluish gums; swelling of the face or paws; trouble breathing; vomiting","Human pain/cold medicines, combination products.","There is no safe at-home amount for cats.","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"aspirin","Aspirin (human)","medication","both","High risk","High risk","Human aspirin can cause stomach ulcers and bleeding and should only be used under veterinary direction.","vomiting; dark stool; loss of appetite; weakness","Human medicine cabinets; some combination products.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"adhd-stimulants","ADHD medications (amphetamine, methylphenidate)","medication","both","Emergency","Emergency","Even a small amount of these stimulants can be life-threatening.","hyperactivity; racing heart; tremors; high temperature; seizures","Prescription stimulant pills.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"antidepressants","Antidepressants (SSRIs / SNRIs)","medication","both","High risk","High risk","Medications like fluoxetine and venlafaxine can cause serotonin-related toxicity.","agitation or sedation; tremors; high heart rate; dilated pupils","Prescription pills and pill organizers.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"benzodiazepines-sleep","Sleep & anxiety medications (benzodiazepines, zolpidem)","medication","both","High risk","High risk","Can cause heavy sedation — or paradoxical agitation — and unsteadiness.","sedation; stumbling; agitation; weakness","Prescription sleep and anxiety medications.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"decongestants","Decongestants (pseudoephedrine)","medication","both","Emergency","Emergency","A potent stimulant found in many cold and allergy medicines.","restlessness; racing heart; tremors; high blood pressure","Cold, sinus, and allergy medicines.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"iron-supplements","Iron & prenatal vitamins","supplement","both","High risk","High risk","Iron-containing supplements can injure the stomach and, in larger amounts, organs. Plain pet vitamins are usually low-risk.","vomiting (sometimes bloody); diarrhea; lethargy","Prenatal and iron supplements, some multivitamins.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"vitamin-d","Vitamin D (high-strength supplements & some baits)","supplement","both","High risk","High risk","Excess vitamin D (from high-strength supplements or cholecalciferol bait) raises calcium and can cause kidney failure.","increased thirst and urination; vomiting; weakness; not eating","High-strength vitamin D supplements, psoriasis creams, some rodent bait.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"tea-tree-oil","Tea tree (melaleuca) oil","essential_oil","both","High risk","Emergency","Concentrated tea tree oil is toxic to dogs and cats even in small amounts, whether on the skin or swallowed; cats are most at risk.","drooling; weakness; tremors; wobbliness; low temperature","Pure essential oil, some 'natural' skin and flea products.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"pennyroyal-oil","Pennyroyal oil","essential_oil","both","Emergency","Emergency","An essential oil sometimes marketed for fleas that can cause liver failure.","vomiting; lethargy; jaundice","Herbal flea remedies and concentrated oils.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"wintergreen-oil","Wintergreen oil","essential_oil","both","High risk","High risk","Contains salicylates (aspirin-like compounds) that are harmful to pets.","vomiting; dark stool; weakness","Pure essential oil, some muscle rubs and liniments.","","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","vet guidance","","","",""
"eucalyptus-oil","Eucalyptus & citrus oils","essential_oil","both","Caution","High risk","Diffused or applied essential oils can irritate or sicken pets; cats cannot process many oils and are most at risk.","drooling; wobbliness; vomiting; skin or eye irritation","Diffusers, cleaning products, 'natural' sprays, concentrated oils.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","vet guidance","","","",""
