area,title,species,feature,urgency,may_indicate,watch_for,match_tokens,related_concern,source,approve (yes/no),reviewer_name_credentials,review_date (YYYY-MM-DD),requested_edits
"poop","Yellow or orange stool","both","stool_color","watch","Yellow or orange stool can be associated with food passing through quickly or a change in bile, and is worth watching; check with your vet if it persists or the pet is unwell.","diarrhea; reduced appetite","yellow; orange; mustard","diarrhea","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"poop","Greasy or oily-looking stool","both","stool_finding","vet_soon","Greasy, oily, or unusually shiny stool can be associated with trouble digesting fat and is worth a vet check.","weight loss; increased appetite; large volume","greasy; oily; shiny stool","diarrhea","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"poop","Small white segments near the rear","both","foreign_material","vet_soon","Small white rice- or sesame-like segments near the stool or rear can be associated with tapeworms, often linked to fleas. A vet can confirm and treat.","scooting; fleas","tapeworm; sesame; white specks; moving specks","diarrhea","Companion Animal Parasite Council (https://capcvet.org)","","","",""
"poop","A cat straining in the litter box","cat","litter_behavior","emergency","A cat straining, making frequent trips, or crying in the litter box can be a urinary emergency — in male cats a blockage is life-threatening and should be seen by a vet right away.","no urine; vocalizing; lethargy","straining; crying in box; in and out of box; frequent trips","urinary","Cornell Feline Health Center (https://www.vet.cornell.edu)","","","",""
"teeth","Broken or fractured tooth","both","teeth_finding","vet_soon","A broken or fractured tooth can be painful and may expose the inner tooth; a vet check is recommended.","reluctant to eat; pawing at mouth; bad breath","broken tooth; fractured; chipped; cracked tooth","other","American Animal Hospital Association (https://www.aaha.org)","","","",""
"teeth","Growth or lump on the gum","both","gum_finding","vet_soon","A new growth or lump on the gum should be checked by a vet, as some mouth masses need early attention.","bleeding; difficulty eating; drooling","growth; mass; lump on gum; bump","other","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"teeth","Severe gum inflammation (cat)","cat","gum_finding","vet_soon","Severe, raw, or very red gum inflammation can be associated with painful oral disease in cats and is worth a prompt vet check.","drooling; reduced appetite; weight loss","very red; severe inflammation; raw gums; ulcer","other","Cornell Feline Health Center (https://www.vet.cornell.edu)","","","",""
"teeth","Bleeding from the mouth","both","gum_finding","vet_soon","Bleeding from the mouth can be associated with dental disease, injury, or a growth and is worth a prompt vet check.","drooling; difficulty eating","bleeding mouth; blood in mouth; bleeding from mouth","other","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"skin","Circular patch of hair loss","both","skin_finding","vet_soon","A circular or ring-shaped patch of hair loss with scaling can be associated with several skin conditions (including ringworm, which may spread to people) and is worth a vet check.","itching; spreading; scaling","circular; ring-shaped; round bald; crusty ring","skin","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"skin","New lump or mass under the skin","both","skin_finding","vet_soon","A new lump or mass under the skin should be checked by a vet — most are harmless, but early evaluation matters.","rapid growth; changes; discharge","lump; mass; growth; nodule","skin","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"skin","Pimple-like bumps or pustules","both","skin_finding","vet_soon","Small pimple-like bumps or pustules can be associated with a skin infection and are worth a vet check, especially if spreading.","redness; itching; odor","pustule; pimple; pus bump; whitehead","skin","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"skin","Greasy or flaky skin (dandruff)","both","skin_finding","watch","Greasy, flaky, or heavily scaling skin can be associated with a skin or coat problem and is worth a vet check if it persists.","odor; itching; hair loss","flaky; dandruff; scaling; greasy skin","skin","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"skin","Maggots in a wound","both","skin_finding","emergency","Visible maggots in a wound or the coat is an emergency and should be treated by a vet right away.","open wound; odor; weakness","maggot; maggots; larvae","skin","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"skin","Redness or swelling between the toes","both","skin_finding","watch","Redness, swelling, or a lump between the toes can be associated with irritation, allergy, or infection and is worth a vet check if it persists.","licking paws; limping; discharge","between toes; interdigital; red paw; paw redness","skin","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"skin","Bald strip from over-grooming (cat)","cat","skin_finding","vet_soon","A smooth bald strip, often along the belly or legs, can be associated with over-grooming in cats — often linked to itch, pain, or stress — and is worth a vet check.","scratching; behavior change","bald strip; over-groom; overgrooming; symmetrical hair loss","skin","Cornell Feline Health Center (https://www.vet.cornell.edu)","","","",""
"ear","Dry, coffee-ground ear debris (cat)","cat","ear_discharge","vet_soon","Dry, dark, coffee-ground-like ear debris can be associated with ear mites, which are common in cats, and is worth a vet check.","scratching ears; head shaking","coffee ground; coffee-ground; dry black; crumbly black","ear","Cornell Feline Health Center (https://www.vet.cornell.edu)","","","",""
"ear","Swollen ear flap","both","ear_finding","vet_soon","A soft, swollen ear flap can be associated with a collection of blood (aural hematoma), often from head shaking, and is worth a prompt vet check.","head shaking; scratching; pain","swollen ear flap; puffy ear; ballooned ear; fluid ear flap","ear","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"ear","Strong or yeasty ear odor","both","ear_finding","vet_soon","A strong, foul, or yeasty odor from the ear can be associated with an ear infection and is worth a vet check.","discharge; redness; scratching","yeasty; foul smell; smelly ear; bad odor","ear","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"eye","Bulging eye or eye out of socket","both","eye_finding","emergency","An eye that appears bulging or out of its socket is an emergency and should be seen by a vet right away.","swelling; bleeding; distress","bulging; out of socket; protruding eye; popped out","eye","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"eye","Red bump in the eye corner (cherry eye)","both","eye_finding","vet_soon","A red, fleshy bump in the inner corner of the eye can be associated with a prolapsed tear gland ('cherry eye') and is worth a prompt vet check.","tearing; rubbing","cherry eye; red bump corner; pink mass corner","eye","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"eye","Unequal or very dilated pupils","both","eye_finding","vet_soon","Pupils that are very unequal in size, or stay very dilated, can be associated with eye or nervous-system problems and are worth a prompt vet check.","squinting; bumping into things; behavior change","uneven pupils; different size pupils; one pupil larger; dilated pupil","eye","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"eye","Excessive tearing or tear staining","both","eye_discharge","watch","Watery eyes or heavy tear staining can be associated with irritation or blocked tear drainage and is worth watching; a vet check helps if it is persistent or with redness.","redness; squinting; rubbing","watery eye; excess tearing; tear stain; runny eye","eye","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"eye","Third eyelids showing (cat)","cat","eye_finding","vet_soon","Third eyelids visible across both eyes can be associated with a cat feeling unwell and is worth a vet check, especially with other signs.","reduced appetite; lethargy; diarrhea","third eyelid; haw showing; white membrane; nictitating","eye","Cornell Feline Health Center (https://www.vet.cornell.edu)","","","",""
